id field ra dec z lmass uv vj
1773.0 AEGIS 214.86245728 52.75970078 1.1587 9.87 0.8140286636481737 0.7758902044053752
1774.0 AEGIS 215.18843079 52.98821259 0.5603 10.68 1.9967569498108506 1.4489186789536501
1790.0 AEGIS 215.1217804 52.94120407 0.4503 9.62 0.8675732242469374 0.93109432313612
1794.0 AEGIS 214.86610413 52.76239395 1.3106 9.69 0.6421113635985252 0.5551402639109368
1797.0 AEGIS 215.22581482 53.01742172 1.7247 9.48 1.0981796105654662 1.714140624229985
1799.0 AEGIS 215.27601624 53.05142593 1.6516 9.7 0.7569993675219302 0.6893263172493952
1803.0 AEGIS 215.06175232 52.90099335 1.9037 10.92 1.67419296354895 1.72921069784628
1817.0 AEGIS 215.22305298 53.01470947 1.3199 9.9 0.4763993137189867 0.3741466496995359
1821.0 AEGIS 215.26412964 53.04214478 1.6169 11.02 1.6359718094038782 0.9839595522467215
1830.0 AEGIS 214.96842957 52.83576202 1.7724 9.7 0.8132733964998551 0.8207995532528669
1848.0 AEGIS 214.75300598 52.68187332 0.9068 9.82 0.9747356554308216 0.8615076825647927
1868.0 AEGIS 214.91369629 52.79654694 1.6541 10.17 0.8627477996936457 0.5757234113633383
1875.0 AEGIS 215.27650452 53.05291748 2.5826 10.07 0.514738661076422 0.4923250536506316
1876.0 AEGIS 215.16543579 52.97527313 1.9364 9.81 1.1452599134485533 0.7453816805179325
1877.0 AEGIS 215.10281372 52.9298172 1.9037 10.79 1.8997659139647358 1.2354302277288773
1878.0 AEGIS 214.84024048 52.74460983 2.4024 10.28 0.9418818765954885 1.0775502032114885
1889.0 AEGIS 215.28337097 53.05662918 2.4964 10.2 0.5134167402944184 0.49131232450022666
1891.0 AEGIS 215.14849854 52.96248627 0.8345 9.75 0.6861494001132508 0.7787166147308382
1903.0 AEGIS 215.292099 53.06364059 1.9169 10.65 1.7367180897141896 0.8428738393749612
1906.0 AEGIS 215.22390747 53.01629639 2.3712 10.04 0.8798318005280926 1.005781674838466
1917.0 AEGIS 214.96932983 52.83491898 1.2858 10.29 0.8370794274667512 0.7464567055483262
1925.0 AEGIS 215.26118469 53.0402298 1.6214 11.28 1.4151504658096872 1.1523211742461363
1929.0 AEGIS 214.88365173 52.77627945 2.5735 9.48 0.5249778457168435 0.6432588789238415
1932.0 AEGIS 215.27548218 53.05287552 2.0722 9.76 0.9418822253963376 1.4612137311604743
1935.0 AEGIS 215.25750732 53.03884506 0.802 9.89 1.5029579645651512 2.1911239174027957
1940.0 AEGIS 215.06878662 52.90703583 2.3706 9.87 0.5656788359758753 0.32539855123920014
1941.0 AEGIS 214.92326355 52.80397415 1.836 9.68 0.6799020335936258 0.3710342055787407
1949.0 AEGIS 214.84326172 52.74753571 2.3905 10.58 1.6185394764027015 1.849397078508882
1953.0 AEGIS 215.12390137 52.94658279 2.506 9.5 0.4511007204505937 0.5760795175425104
1961.0 AEGIS 214.94143677 52.81568527 1.424 9.84 0.9161525288343831 0.4841024143904268
1969.0 AEGIS 215.25080872 53.0330162 1.6256 10.89 1.2903503467149091 1.0627123126329816
1974.0 AEGIS 215.08436584 52.91747665 0.7279 9.78 0.9196133008441599 1.3471273136172686
1977.0 AEGIS 215.22817993 53.01950836 1.4309 10.39 1.6873685294958494 1.8061016978769127
1987.0 AEGIS 215.26399231 53.04283905 1.4273 10.8 1.4665018498176385 1.5007895860947615
